qualifyId,raceId,constructorId,number,position,q1,q2,q3
20,5,1,23,5,1:33.057,1:31.718,1:33.488
20,2,2,3,6,1:33.137,1:31.909,1:33.737
20,15,7,11,7,1:32.493,1:32.159,1:33.994
20,3,3,7,8,1:32.903,1:32.185,1:34.015
20,18,11,16,9,1:32.793,1:32.362,1:35.057
20,4,4,5,10,1:32.947,1:32.345,1:35.115
20,17,9,10,11,1:33.194,1:32.371,
20,22,11,17,12,1:32.944,1:32.508,
20,10,7,12,13,1:32.800,1:32.528,
20,12,4,6,14,1:32.975,1:32.790,
20,7,5,14,15,1:33.415,1:32.915,
20,6,3,8,16,1:33.386,1:32.943,
20,14,9,9,17,1:33.433,,
20,21,10,21,18,1:33.501,,
20,20,5,15,19,1:33.562,,
20,16,10,20,20,1:33.845,,
20,19,8,19,21,1:34.140,,
20,11,8,18,22,1:35.725,,
21,8,6,1,1,1:20.701,1:20.784,1:21.813
21,4,4,5,2,1:21.347,1:20.804,1:21.904
21,13,6,2,3,1:21.528,1:20.584,1:22.058
21,9,2,4,4,1:21.423,1:20.597,1:22.065
21,1,1,22,5,1:21.366,1:20.825,1:22.096
21,5,1,23,6,1:21.430,1:20.817,1:22.231
21,17,9,10,7,1:21.494,1:20.984,1:22.429
21,15,7,11,8,1:21.158,1:20.907,1:22.529
21,2,2,3,9,1:21.466,1:20.815,1:22.542
21,12,4,6,10,1:21.409,1:20.894,1:22.699
21,22,11,17,11,1:21.548,1:21.049,
21,6,3,8,12,1:21.690,1:21.117,
21,18,11,16,13,1:21.757,1:21.211,
21,10,7,12,14,1:21.427,1:21.230,
21,3,3,7,15,1:21.472,1:21.349,
21,7,5,14,16,1:21.540,1:21.724,
21,14,9,9,17,1:21.810,,
21,20,5,15,18,1:22.108,,
21,21,10,21,19,1:22.516,,
21,16,10,20,20,1:23.224,,
21,19,8,19,21,1:23.318,,
21,11,8,18,22,1:23.496,,
22,13,6,2,1,1:25.994,1:26.192,1:27.617
22,5,1,23,2,1:26.736,1:26.290,1:27.808
22,1,1,22,3,1:26.192,1:26.477,1:27.923
22,8,6,1,4,1:26.457,1:26.050,1:27.936
22,9,2,4,5,1:26.761,1:26.129,1:28.390
22,17,9,10,6,1:26.773,1:26.466,1:28.417
22,4,4,5,7,1:26.836,1:26.522,1:28.422
22,15,7,11,8,1:26.695,1:26.822,1:28.836
22,2,2,3,9,1:27.107,1:27.607,1:28.882
22,14,9,9,10,1:26.939,1:26.520,1:29.959
22,3,3,7,11,1:27.367,1:27.012,
22,22,11,17,12,1:27.355,1:27.219,
22,18,11,16,13,1:27.428,1:27.298,
22,20,5,15,14,1:27.442,1:27.412,
22,10,7,12,15,1:26.614,1:27.806,
22,6,3,8,16,1:27.547,,
22,12,4,6,17,1:27.568,,
22,7,5,14,18,1:27.621,,
22,21,10,21,19,1:27.807,,
22,16,10,20,20,1:28.325,,
23,13,6,2,1,1:15.190,1:15.110,1:15.787
23,8,6,1,2,1:15.717,1:15.404,1:15.815
23,1,1,22,3,1:15.582,1:15.322,1:15.839
23,5,1,23,4,1:15.295,1:15.389,1:16.165
23,9,2,4,5,1:15.977,1:15.483,1:16.171
23,3,3,7,6,1:15.935,1:15.287,1:16.548
23,4,4,5,7,1:16.646,1:15.827,1:16.852
23,15,7,11,8,1:16.306,1:15.598,1:17.203
23,17,9,10,9,1:16.074,1:15.745,1:17.343
23,14,9,9,10,1:16.086,1:15.839,
23,10,7,12,11,1:16.285,1:15.907,
23,18,11,16,12,1:16.259,1:16.101,
23,2,2,3,13,1:16.650,1:16.455,
23,6,3,8,14,1:16.756,1:16.479,
23,22,11,17,15,1:16.208,1:16.537,
23,7,5,14,16,1:16.806,,
23,12,4,6,17,1:16.933,,
23,20,5,15,18,1:16.955,,
23,16,10,20,19,1:17.225,,
23,21,10,21,20,1:17.823,,
24,1,1,22,1,1:16.909,1:17.034,1:17.886
24,9,2,4,2,1:17.471,1:17.679,1:18.498
24,8,6,1,3,1:17.301,1:17.364,1:18.735
24,4,4,5,4,1:17.415,1:17.488,1:18.746
24,3,3,7,5,1:17.991,1:17.891,1:18.844
24,13,6,2,6,1:17.231,1:17.353,1:19.048
24,5,1,23,7,1:17.287,1:17.684,1:19.089
24,2,2,3,8,1:18.082,1:17.781,1:19.633
24,22,11,17,9,1:18.256,1:18.020,1:20.848
24,17,9,10,10,1:17.582,1:17.523,
24,10,7,12,11,1:18.321,1:18.031,
24,6,3,8,12,1:17.638,1:18.062,
24,14,9,9,13,1:18.168,1:18.238,
24,15,7,11,14,1:18.039,1:18.327,
24,12,4,6,15,1:18.505,1:18.393,
24,7,5,14,16,1:18.916,,
24,16,10,20,17,1:19.108,,
24,21,10,21,18,1:19.165,,
24,18,11,16,19,1:23.565,,
24,20,5,15,20,,,
25,8,6,1,1,1:15.133,1:15.161,1:16.449
25,13,6,2,2,1:15.024,1:15.041,1:16.490
25,1,1,22,3,1:15.634,1:15.293,1:16.693
25,4,4,5,4,1:15.754,1:15.483,1:16.840
25,15,7,11,5,1:15.521,1:15.362,1:16.920
25,5,1,23,6,1:15.965,1:15.639,1:16.944
25,9,2,4,7,1:15.687,1:15.723,1:17.037
25,17,9,10,8,1:16.020,1:15.488,1:17.233
25,14,9,9,9,1:15.802,1:15.654,1:17.426
25,10,7,12,10,1:15.727,1:15.558,1:17.596
25,12,4,6,11,1:15.848,1:15.770,
25,2,2,3,12,1:16.006,1:15.786,
25,20,5,15,13,1:15.918,1:15.816,
25,7,5,14,14,1:16.072,1:16.045,
25,3,3,7,15,1:16.085,1:16.235,
25,6,3,8,16,1:16.243,,
25,18,11,16,17,1:16.306,,
25,22,11,17,18,1:16.330,,
25,21,10,21,19,1:16.971,,
25,16,10,20,20,1:17.053,,
26,5,1,23,1,1:19.957,1:19.597,1:21.049
26,17,9,10,2,1:20.982,1:19.710,1:21.554
26,8,6,1,3,1:20.370,1:19.971,1:21.706
26,1,1,22,4,1:20.288,1:19.537,1:21.835
26,2,2,3,5,1:21.022,1:19.802,1:21.873
26,4,4,5,6,1:20.998,1:19.992,1:22.029
26,12,4,6,7,1:20.818,1:20.115,1:22.491
26,20,5,15,8,1:20.318,1:20.109,1:23.251
26,13,6,2,9,1:20.676,1:20.086,1:23.305
26,9,2,4,10,1:20.444,1:19.788,
26,14,9,9,11,1:21.224,1:20.174,
26,10,7,12,12,1:20.893,1:20.274,
26,7,5,14,13,1:20.584,1:20.531,
26,15,7,11,14,1:21.145,1:20.601,
26,6,3,8,15,1:21.407,1:21.112,
26,22,11,17,16,1:21.512,,
26,18,11,16,17,1:21.631,,
26,3,3,7,18,1:21.668,,
26,16,10,20,19,1:21.786,,
26,21,10,21,20,1:21.885,,
27,1,1,22,1,1:15.218,1:14.603,1:15.666
27,13,6,2,2,1:14.921,1:14.747,1:15.859
27,5,1,23,3,1:15.476,1:14.855,1:16.143
27,15,7,11,4,1:15.560,1:15.122,1:16.191
27,4,4,5,5,1:15.917,1:14.943,1:16.385
27,8,6,1,6,1:15.201,1:14.949,1:16.389
27,9,2,4,7,1:15.985,1:15.109,1:16.521
27,17,9,10,8,1:15.900,1:15.481,1:17.014
27,20,5,15,9,1:15.532,1:15.420,1:17.244
27,14,9,9,10,1:15.975,1:15.338,1:17.503
27,10,7,12,11,1:15.560,1:15.508,
27,2,2,3,12,1:15.596,1:15.581,
27,3,3,7,13,1:15.863,1:15.633,
27,18,11,16,14,1:15.993,1:15.701,
27,7,5,14,15,1:15.927,1:15.858,
27,6,3,8,16,1:16.083,,
27,12,4,6,17,1:16.189,,
27,22,11,17,18,1:16.246,,
27,16,10,20,19,1:16.657,,
27,21,10,21,20,1:16.963,,
28,1,1,22,1,1:19.376,1:19.473,1:20.899
28,5,1,23,2,1:19.945,1:19.480,1:21.140
28,13,6,2,3,1:19.578,1:19.068,1:21.191
28,9,2,4,4,1:20.053,1:19.776,1:21.281
28,10,7,12,5,1:19.980,1:19.246,1:21.326
28,8,6,1,6,1:20.006,1:19.546,1:21.516
28,4,4,5,7,1:20.229,1:19.816,1:21.698
28,17,9,10,8,1:20.073,1:20.046,1:21.732
28,15,7,11,9,1:19.942,1:19.486,1:21.767
28,12,4,6,10,1:20.583,1:20.131,1:22.371
28,20,5,15,11,1:20.157,1:20.144,
28,18,11,16,12,1:20.888,1:20.332,
28,14,9,9,13,1:20.505,1:20.502,
28,7,5,14,14,1:20.640,1:20.963,
28,3,3,7,15,1:20.748,,
28,2,2,3,16,1:21.045,,
28,6,3,8,17,1:21.085,,
28,22,11,17,18,1:21.332,,
28,21,10,21,19,1:21.670,,
28,16,10,20,20,1:22.113,,
29,13,6,2,1,1:38.176,1:37.859,1:38.989
29,1,1,22,2,1:38.464,1:37.954,1:39.199
29,9,2,4,3,1:38.347,1:38.050,1:39.392
29,8,6,1,4,1:38.703,1:38.229,1:39.488
29,5,1,23,5,1:38.656,1:38.120,1:39.937
29,20,5,15,6,1:38.141,1:37.842,1:40.142
29,15,7,11,7,1:37.948,1:37.928,1:40.309
29,2,2,3,8,1:38.738,1:37.859,1:40.631
29,3,3,7,9,1:38.595,1:38.336,1:40.721
29,7,5,14,10,1:38.622,1:38.417,1:40.750
29,6,3,8,11,1:38.667,1:38.428,
29,4,4,5,12,1:38.268,1:38.435,
29,10,7,12,13,1:38.532,1:38.499,
29,17,9,10,14,1:38.559,1:38.515,
29,12,4,6,15,1:38.787,1:38.744,
29,18,11,16,16,1:38.880,,
29,14,9,9,17,1:39.235,,
29,21,10,21,18,1:39.268,,
29,22,11,17,19,1:39.811,,
29,16,10,20,20,1:39.943,,
30,1,1,22,1,1:46.887,1:46.088,1:47.338
30,13,6,2,2,1:46.873,1:46.391,1:47.678
30,5,1,23,3,1:46.812,1:46.037,1:47.815
30,8,6,1,4,1:46.960,1:46.298,1:47.992
30,2,2,3,5,1:47.419,1:46.311,1:48.315
30,4,4,5,6,1:47.154,1:46.491,1:48.504
30,17,9,10,7,1:47.270,1:46.814,1:48.736
30,9,2,4,8,1:47.093,1:46.494,1:48.763
30,7,5,14,9,1:46.777,1:46.544,1:48.951
30,20,5,15,10,1:47.152,1:46.804,1:50.319
30,15,7,11,11,1:47.400,1:46.949,
30,12,4,6,12,1:47.052,1:46.965,
30,10,7,12,13,1:47.359,1:46.995,
30,14,9,9,14,1:47.132,1:47.018,
30,3,3,7,15,1:47.503,1:47.429,
30,22,11,17,16,1:48.153,,
30,18,11,16,17,1:48.211,,
30,16,10,20,18,1:48.226,,
30,6,3,8,19,1:48.268,,
30,21,10,21,20,1:48.447,,
31,20,5,15,1,1:35.464,1:35.837,1:37.555
31,5,1,23,2,1:35.214,1:35.843,1:37.631
31,17,9,10,3,1:36.001,1:36.306,1:38.117
31,7,5,14,4,1:35.543,1:36.175,1:38.445
31,3,3,7,5,1:35.485,1:35.898,1:38.767
31,13,6,2,6,1:35.536,1:36.676,1:38.894
31,15,7,11,7,1:35.906,1:36.008,1:39.152
31,4,4,5,8,1:36.297,1:36.518,1:39.751
31,10,7,12,9,1:35.737,1:36.525,1:39.787
31,2,2,3,10,1:35.709,1:36.626,1:39.906
31,9,2,4,11,1:35.553,1:36.697,
31,21,10,21,12,1:36.280,1:36.698,
31,14,9,9,13,1:36.485,1:37.284,
31,8,6,1,14,1:35.965,1:37.522,
31,1,1,22,15,1:35.394,1:39.265,
31,22,11,17,16,1:36.510,,
31,12,4,6,17,1:36.630,,
31,6,3,8,18,1:36.653,,
31,18,11,16,19,1:37.006,,
31,16,10,20,20,1:37.417,,
32,13,6,2,1,1:44.519,1:44.014,1:44.801
32,1,1,22,2,1:44.501,1:44.932,1:45.465
32,8,6,1,3,1:44.282,1:44.232,1:45.617
32,9,2,4,4,1:44.740,1:44.519,1:45.779
32,5,1,23,5,1:44.311,1:44.207,1:45.873
32,2,2,3,6,1:45.548,1:44.520,1:45.964
32,20,5,15,7,1:45.042,1:44.261,1:46.244
32,10,7,12,8,1:45.184,1:44.441,1:46.328
32,3,3,7,9,1:45.103,1:44.429,1:46.611
32,6,3,8,10,1:45.127,1:44.826,1:47.547
32,15,7,11,11,1:45.642,1:45.038,
32,18,11,16,12,1:45.660,1:45.133,
32,17,9,10,13,1:45.493,1:45.212,
32,14,9,9,14,1:46.028,1:45.298,
32,4,4,5,15,1:44.971,,
32,12,4,6,16,1:46.037,,
32,7,5,14,17,1:46.389,,
32,22,11,17,18,1:46.583,,
32,16,10,20,19,1:47.940,,
32,21,10,21,20,,,
33,1,1,22,1,1:18.071,1:17.462,1:18.404
33,8,6,1,2,1:18.160,1:17.733,1:18.644
33,5,1,23,3,1:18.220,1:17.360,1:18.821
33,4,4,5,4,1:18.290,1:17.871,1:18.852
33,13,6,2,5,1:18.110,1:17.287,1:18.874
33,9,2,4,6,1:18.684,1:17.931,1:18.979
33,15,7,11,7,1:18.501,1:17.541,1:19.026
33,10,7,12,8,1:17.945,1:17.670,1:19.118
33,20,5,15,9,1:18.559,1:17.714,1:19.638
33,7,5,14,10,1:18.593,1:18.102,1:20.167
33,14,9,9,11,1:18.303,1:18.187,
33,12,4,6,12,1:18.300,1:18.274,
33,17,9,10,13,1:18.372,1:18.354,
33,6,3,8,14,1:18.640,1:18.594,
33,3,3,7,15,1:18.740,1:18.672,
33,2,2,3,16,1:18.835,,
33,22,11,17,17,1:18.882,,
33,18,11,16,18,1:19.100,,
33,16,10,20,19,1:19.163,,
33,21,10,21,20,1:19.910,,
34,1,1,22,1,1:35.566,1:34.947,1:36.303
34,8,6,1,2,1:35.983,1:35.355,1:36.645
34,13,6,2,3,1:35.971,1:35.135,1:36.889
34,4,4,5,4,1:35.769,1:35.461,1:36.927
34,5,1,23,5,1:35.623,1:35.216,1:36.930
34,17,9,10,6,1:36.238,1:35.686,1:37.083
34,2,2,3,7,1:36.224,1:35.403,1:37.201
34,20,5,15,8,1:35.752,1:35.386,1:37.685
34,15,7,11,9,1:36.104,1:35.715,1:37.934
34,7,5,14,10,1:36.239,1:35.478,1:38.885
34,12,4,6,11,1:36.029,1:35.722,
34,9,2,4,12,1:36.503,1:35.814,
34,10,7,12,13,1:36.210,1:35.937,
34,22,11,17,14,1:36.640,1:36.079,
34,3,3,7,15,1:36.434,1:36.210,
34,14,9,9,16,1:36.731,,
34,6,3,8,17,1:36.863,,
34,18,11,16,18,1:37.053,,
34,16,10,20,19,1:37.730,,
34,21,10,21,20,1:37.739,,
35,13,6,2,1,1:11.830,1:11.875,1:12.368
35,15,7,11,2,1:12.226,1:12.107,1:12.737
35,8,6,1,3,1:12.083,1:11.950,1:12.825
35,1,1,22,4,1:12.213,1:11.856,1:12.830
35,5,1,23,5,1:12.366,1:11.768,1:12.917
35,4,4,5,6,1:12.214,1:12.090,1:12.967
35,20,5,15,7,1:12.390,1:11.845,1:13.082
35,2,2,3,8,1:12.371,1:12.026,1:13.297
35,7,5,14,9,1:12.498,1:12.075,1:14.105
35,10,7,12,10,1:12.223,1:11.909,1:14.230
35,12,4,6,11,1:12.348,1:12.137,
35,17,9,10,12,1:12.409,1:12.289,
35,9,2,4,13,1:12.381,1:12.300,
35,14,9,9,14,1:12.690,1:12.717,
35,22,11,17,15,1:12.548,1:13.139,
35,6,3,8,16,1:12.800,,
35,18,11,16,17,1:12.810,,
35,3,3,7,18,1:13.002,,
35,21,10,21,19,1:13.426,,
35,16,10,20,20,1:13.508,,
36,8,6,6,1,1:26.644,1:25.644,1:26.072
36,4,1,1,2,1:26.697,1:25.326,1:26.493
36,2,2,9,3,1:26.895,1:25.358,1:26.556
36,1,1,2,4,1:26.674,1:25.577,1:26.755
36,9,2,10,5,1:26.696,1:25.882,1:27.347
36,21,4,3,6,1:27.270,1:25.944,1:27.634
36,17,9,15,7,1:26.978,1:26.623,1:27.934
36,15,7,12,8,1:27.014,1:26.688,1:28.404
36,23,7,11,9,1:27.328,1:26.739,1:28.692
36,11,8,22,10,1:27.365,1:26.758,1:28.871
36,19,8,23,11,1:26.986,1:26.909,
36,3,3,16,12,1:27.596,1:26.914,
36,5,4,4,13,1:27.529,1:26.964,
36,18,11,7,14,1:27.540,1:27.264,
36,25,3,17,15,1:27.479,1:27.393,
36,13,6,5,16,1:26.712,,
36,22,11,8,17,1:27.679,,
36,26,5,19,18,1:28.305,,
36,14,9,14,19,1:28.579,,
36,24,5,18,20,1:29.267,,
36,16,12,20,21,1:29.339,,
36,27,12,21,22,1:31.932,,
37,13,6,5,1,1:35.340,1:34.454,1:35.043
37,4,1,1,2,1:34.942,1:34.057,1:35.310
37,8,6,6,3,1:35.138,1:34.687,1:35.479
37,1,1,2,4,1:35.028,1:34.650,1:36.045
37,2,2,9,5,1:35.617,1:35.203,1:36.543
37,3,3,16,6,1:35.755,1:35.380,1:36.829
37,9,2,10,7,1:35.294,1:34.739,1:36.839
37,15,7,12,8,1:35.666,1:35.255,1:36.902
37,23,7,11,9,1:35.736,1:35.595,1:37.078
37,17,9,15,10,1:35.727,1:35.579,1:37.345
37,5,4,4,11,1:36.092,1:35.630,
37,21,4,3,12,1:35.879,1:35.706,
37,14,9,14,13,1:35.730,1:35.766,
37,11,8,22,14,1:36.430,1:35.945,
37,18,11,7,15,1:35.913,1:36.088,
37,24,5,18,16,1:36.140,1:36.145,
37,26,5,19,17,1:36.578,,
37,19,8,23,18,1:36.816,,
37,22,11,8,19,1:36.827,,
37,25,3,17,20,1:37.326,,
37,27,12,21,21,1:38.279,,
37,16,12,20,22,1:38.415,,
38,13,6,5,1,1:32.443,1:31.359,1:32.652
38,1,1,2,2,1:32.580,1:31.752,1:32.935
38,8,6,6,3,1:33.161,1:31.812,1:33.131
38,4,1,1,4,1:33.049,1:32.214,1:33.192
38,2,2,9,5,1:33.164,1:32.154,1:33.404
38,9,2,10,6,1:33.348,1:32.292,1:33.710
38,21,4,3,7,1:33.556,1:32.889,1:34.056
38,17,9,15,8,1:33.496,1:32.808,1:34.106
38,15,7,12,9,1:33.218,1:32.429,1:34.154
38,3,3,16,10,1:33.349,1:32.815,1:34.399
38,25,3,17,11,1:33.759,1:32.915,
38,5,4,4,12,1:33.467,1:32.935,
38,19,8,23,13,1:33.299,1:33.082,
38,23,7,11,14,1:33.923,1:33.294,
38,22,11,8,15,1:33.776,1:33.624,
38,18,11,7,16,1:33.967,1:33.731,
38,11,8,22,17,1:33.984,,
38,24,5,18,18,1:34.024,,
38,26,5,19,19,1:34.333,,
38,16,12,20,20,1:35.280,,
38,14,9,14,21,1:35.341,,
38,27,12,12,22,1:35.533,,
39,13,6,5,1,1:21.375,1:20.597,1:21.421
39,4,1,1,2,1:21.609,1:20.797,1:21.451
39,8,6,6,3,1:21.802,1:20.741,1:21.723
39,1,1,2,4,1:21.120,1:20.713,1:21.785
39,9,2,10,5,1:21.941,1:21.381,1:22.253
39,15,7,12,6,1:22.501,1:21.554,1:22.324
39,2,2,9,7,1:21.625,1:21.113,1:22.389
39,5,4,4,8,1:21.790,1:21.623,1:22.568
39,14,9,14,9,1:22.491,1:21.488,1:22.749
39,21,4,3,10,1:22.064,1:21.677,1:22.881
39,3,3,16,11,1:21.943,1:21.968,
39,22,11,8,12,1:22.502,1:22.097,
39,11,8,22,13,1:22.090,1:22.115,
39,18,11,7,14,1:22.503,1:22.120,
39,19,8,23,15,1:22.295,,
39,24,5,18,16,1:22.508,,
39,23,7,11,17,1:22.666,,
39,25,3,17,18,1:22.769,,
39,17,9,15,19,1:23.398,,
39,16,12,20,20,1:23.811,,
39,27,12,21,21,1:23.990,,
39,26,5,19,22,,,
40,4,1,1,1,1:16.059,1:15.431,1:15.726
40,1,1,2,2,1:15.685,1:15.479,1:15.905
40,13,6,5,3,1:16.786,1:16.034,1:15.967
40,21,4,3,4,1:17.596,1:16.054,1:16.285
40,3,3,16,5,1:16.870,1:16.100,1:16.439
40,17,9,15,6,1:17.816,1:16.420,1:16.784
40,2,2,9,7,1:17.385,1:15.733,1:16.832
40,9,2,10,8,1:17.584,1:15.576,1:16.955
40,22,11,8,9,1:17.244,1:16.454,1:17.498
40,18,11,7,10,1:17.297,1:16.457,1:17.939
40,25,3,17,11,1:17.874,1:16.662,
40,24,5,18,12,1:16.720,1:16.703,
40,14,9,14,13,1:17.204,1:16.319,
40,15,7,12,14,1:17.686,1:16.988,
40,5,4,4,15,1:17.836,1:17.125,
40,8,6,6,16,1:16.251,,
40,19,8,23,17,1:18.250,,
40,26,5,19,18,1:18.390,,
40,16,12,20,19,1:18.418,,
40,23,7,11,20,1:18.539,,
40,11,8,22,21,1:18.554,,
40,27,12,21,22,,,
41,1,1,2,1,1:16.576,1:15.486,1:15.707
41,4,1,1,2,1:16.562,1:15.522,1:16.163
41,2,2,9,3,1:17.006,1:15.960,1:16.266
41,8,6,6,4,1:16.468,1:16.592,1:16.411
41,13,6,5,5,1:16.756,1:16.138,1:16.570
41,17,9,15,6,1:17.315,1:16.257,1:16.913
41,3,3,16,7,1:17.016,1:16.190,1:16.919
41,9,2,10,8,1:17.267,1:16.368,1:16.993
41,21,4,3,9,1:16.805,1:16.288,1:17.229
41,15,7,12,10,1:17.324,1:16.600,1:17.747
41,11,8,22,11,1:17.490,1:16.743,
41,24,5,18,12,1:17.541,1:16.760,
41,22,11,8,13,1:17.011,1:17.116,
41,14,9,14,14,1:17.436,1:17.304,
41,18,11,7,15,1:17.522,1:17.541,
41,26,5,19,16,1:17.433,1:17.571,
41,19,8,23,17,1:17.542,,
41,23,7,11,18,1:17.634,,
41,25,3,17,19,1:18.089,,
41,16,12,20,20,1:18.536,,
41,27,12,21,21,1:19.196,,
41,5,4,4,22,1:17.806,,
42,1,1,2,1,1:12.563,1:12.065,1:12.331
42,4,1,1,2,1:12.416,1:11.926,1:12.500
42,13,6,5,3,1:12.731,1:12.180,1:12.703
42,8,6,6,4,1:12.732,1:12.111,1:12.839
42,2,2,9,5,1:12.543,1:12.188,1:12.847
42,5,4,4,6,1:12.998,1:12.599,1:13.308
42,20,2,10,7,1:12.711,1:12.644,1:13.513
42,15,7,12,8,1:13.186,1:12.828,1:13.789
42,17,9,15,9,1:13.425,1:12.788,1:13.871
42,21,4,3,10,1:13.168,1:12.603,1:13.953
42,14,9,14,11,1:13.424,1:12.873,
42,23,7,11,12,1:12.851,1:12.920,
42,18,11,7,13,1:13.306,1:12.998,
42,3,3,16,14,1:13.128,1:13.060,
42,22,11,8,15,1:13.203,1:13.201,
42,19,8,23,16,1:13.164,1:13.259,
42,25,3,17,17,1:13.441,,
42,11,8,22,18,1:13.477,,
42,24,5,18,19,1:13.484,,
42,26,5,19,20,1:13.712,,
42,16,12,20,21,1:14.122,,
42,27,12,21,22,1:14.597,,
43,13,6,5,1,1:15.303,1:14.822,1:15.034
43,1,1,2,2,1:14.805,1:14.795,1:15.104
43,8,6,6,3,1:14.872,1:14.828,1:15.257
43,9,2,10,4,1:15.778,1:15.066,1:15.493
43,21,4,3,5,1:16.047,1:15.227,1:15.674
43,5,4,4,6,1:15.524,1:15.272,1:15.826
43,2,2,9,7,1:15.783,1:15.149,1:15.900
43,15,7,12,8,1:16.118,1:15.379,1:15.935
43,3,3,16,9,1:16.092,1:15.331,1:16.328
43,4,1,1,10,1:15.322,1:15.084,
43,23,7,11,11,1:15.760,1:15.534,
43,18,11,7,12,1:16.113,1:15.584,
43,22,11,8,13,1:16.140,1:15.761,
43,17,9,15,14,1:15.746,1:15.806,
43,26,5,19,15,1:15.980,1:16.049,
43,14,9,14,16,1:15.915,,
43,24,5,18,17,1:16.142,,
43,25,3,17,18,1:16.241,,
43,19,8,23,19,1:16.366,,
43,27,12,21,20,1:17.826,,
43,16,12,20,21,1:17.915,,
43,11,8,22,22,1:16.244,,
44,1,1,2,1,1:19.885,1:19.400,1:19.997
44,8,6,6,2,1:19.753,1:19.252,1:20.099
44,4,1,1,3,1:19.330,1:19.152,1:20.147
44,13,6,5,4,1:19.790,1:19.421,1:20.265
44,9,2,10,5,1:20.294,1:20.054,1:20.401
44,23,7,11,6,1:20.513,1:19.860,1:20.516
44,5,4,4,7,1:20.570,1:20.077,1:20.721
44,21,4,3,8,1:20.842,1:20.042,1:20.775
44,2,2,9,9,1:20.534,1:20.178,1:20.894
44,15,7,12,10,1:21.150,1:20.133,1:21.240
44,17,9,15,11,1:20.583,1:20.235,
44,14,9,14,12,1:21.154,1:20.329,
44,25,3,17,13,1:20.830,1:20.350,
44,22,11,8,14,1:21.169,1:20.364,
44,26,5,19,15,1:20.834,1:20.515,
44,24,5,18,16,1:21.160,1:20.823,
44,3,3,16,17,1:21.219,,
44,18,11,7,18,1:21.335,,
44,19,8,23,19,1:21.448,,
44,16,12,20,20,1:22.019,,
44,11,8,22,21,1:22.045,,
44,27,12,21,22,1:22.586,,
45,8,6,6,1,1:31.522,1:31.237,1:31.450
45,4,1,1,2,1:31.074,1:30.983,1:31.741
45,13,6,5,3,1:31.447,1:30.912,1:31.778
45,2,2,9,4,1:31.889,1:31.652,1:31.840
45,9,2,10,5,1:31.961,1:31.444,1:32.123
45,17,9,15,6,1:32.629,1:31.661,1:32.476
45,5,4,4,7,1:32.594,1:31.783,1:32.478
45,15,7,12,8,1:32.381,1:31.859,1:32.501
45,23,7,11,9,1:32.446,1:31.843,1:32.570
45,1,1,2,10,1:31.587,1:31.185,1:33.833
45,3,3,16,11,1:32.117,1:31.978,
45,25,3,17,12,1:32.173,1:31.996,
45,21,4,3,13,1:32.378,1:32.010,
45,22,11,8,14,1:32.674,1:32.221,
45,19,8,23,15,1:32.793,1:32.451,
